Checking Status,Credit History,Purpose,Credit Requested,Saving Status,Employment,Age,Class
no checking,critical/other existing credit,radio/tv,1149,>=1000,1<=X<4,46,good
no checking,existing paid,furniture/equipment,1313,<100,>=7,20,good
<0,critical/other existing credit,repairs,1190,<100,unemployed,55,bad
no checking,existing paid,business,3448,<100,4<=X<7,74,good
0<=X<200,existing paid,other,13280,<100,1<=X<4,29,bad
<0,critical/other existing credit,furniture/equipment,1872,<100,unemployed,36,good
no checking,critical/other existing credit,repairs,2058,<100,1<=X<4,33,good
<0,existing paid,furniture/equipment,2136,<100,1<=X<4,25,good
0<=X<200,existing paid,radio/tv,1484,unknown,1<=X<4,25,bad
no checking,existing paid,repairs,660,500<=X<1000,4<=X<7,23,good
no checking,critical/other existing credit,new car,1287,>=1000,>=7,37,good
<0,critical/other existing credit,repairs,3394,<100,unemployed,65,good
>=200,no credits/all paid,business,609,<100,<1,26,bad
no checking,existing paid,new car,1884,<100,>=7,39,good
<0,existing paid,furniture/equipment,1620,<100,1<=X<4,30,good
0<=X<200,delayed previously,other,2629,<100,1<=X<4,29,good
no checking,existing paid,education,7190,<100,>=7,41,bad
0<=X<200,critical/other existing credit,furniture/equipment,5096,<100,1<=X<4,30,bad
no checking,critical/other existing credit,education,1244,unknown,>=7,41,good
<0,existing paid,new car,1842,<100,<1,34,bad
0<=X<200,existing paid,radio/tv,2576,<100,1<=X<4,35,good
>=200,existing paid,furniture/equipment,1424,unknown,>=7,55,good
0<=X<200,delayed previously,repairs,1512,>=1000,1<=X<4,61,bad
no checking,critical/other existing credit,used car,11054,unknown,1<=X<4,30,good
no checking,existing paid,radio/tv,5180,<100,1<=X<4,29,good
no checking,no credits/all paid,furniture/equipment,2759,<100,>=7,34,good
no checking,existing paid,used car,2670,<100,>=7,35,good
<0,existing paid,new car,4817,<100,4<=X<7,31,bad
no checking,existing paid,used car,2679,<100,<1,29,good
<0,critical/other existing credit,new car,3905,<100,1<=X<4,36,good
<0,existing paid,used car,3386,<100,>=7,35,bad
<0,existing paid,furniture/equipment,343,<100,<1,27,good
no checking,existing paid,radio/tv,4594,<100,<1,32,good
<0,existing paid,furniture/equipment,3620,<100,1<=X<4,37,good
<0,existing paid,new car,1721,<100,<1,36,good
0<=X<200,existing paid,furniture/equipment,3017,<100,<1,34,good
0<=X<200,existing paid,retraining,754,unknown,>=7,38,good
no checking,existing paid,business,1950,<100,4<=X<7,34,good
<0,existing paid,used car,2924,<100,1<=X<4,63,good
<0,delayed previously,radio/tv,1659,<100,<1,29,bad
no checking,delayed previously,radio/tv,7238,unknown,>=7,32,good
no checking,delayed previously,business,2764,<100,1<=X<4,26,good
no checking,delayed previously,used car,4679,<100,4<=X<7,35,good
0<=X<200,existing paid,radio/tv,3092,100<=X<500,<1,22,bad
<0,existing paid,education,448,<100,<1,23,bad
<0,existing paid,new car,654,<100,1<=X<4,28,bad
no checking,existing paid,retraining,1238,unknown,unemployed,36,good
0<=X<200,critical/other existing credit,radio/tv,1245,<100,1<=X<4,33,bad
<0,no credits/all paid,furniture/equipment,3114,<100,<1,26,bad
no checking,existing paid,used car,2569,500<=X<1000,1<=X<4,24,good
>=200,existing paid,radio/tv,5152,<100,4<=X<7,25,good
0<=X<200,existing paid,business,1037,100<=X<500,4<=X<7,39,good
<0,critical/other existing credit,furniture/equipment,1478,<100,>=7,44,good
0<=X<200,critical/other existing credit,radio/tv,3573,<100,1<=X<4,23,good
0<=X<200,existing paid,new car,1201,<100,<1,26,good
<0,existing paid,furniture/equipment,3622,>=1000,>=7,57,good
no checking,delayed previously,furniture/equipment,960,>=1000,4<=X<7,30,good
no checking,critical/other existing credit,new car,1163,500<=X<1000,1<=X<4,44,good
0<=X<200,delayed previously,new car,1209,<100,unemployed,47,bad
no checking,existing paid,radio/tv,3077,<100,1<=X<4,52,good
no checking,existing paid,new car,3757,<100,>=7,62,good
no checking,existing paid,new car,1418,100<=X<500,1<=X<4,35,good
no checking,existing paid,new car,3518,<100,1<=X<4,26,good
no checking,critical/other existing credit,radio/tv,1934,<100,>=7,26,good
0<=X<200,no credits/all paid,business,8318,<100,>=7,42,bad
no checking,critical/other existing credit,radio/tv,1237,100<=X<500,1<=X<4,27,good
0<=X<200,existing paid,radio/tv,368,unknown,>=7,38,good
<0,critical/other existing credit,new car,2122,<100,1<=X<4,39,good
<0,existing paid,furniture/equipment,2996,unknown,1<=X<4,20,bad
0<=X<200,existing paid,furniture/equipment,9034,100<=X<500,<1,29,bad
no checking,critical/other existing credit,furniture/equipment,1585,<100,4<=X<7,40,good
0<=X<200,existing paid,radio/tv,1301,<100,>=7,32,good
>=200,critical/other existing credit,new car,1323,100<=X<500,>=7,28,good
<0,existing paid,new car,3123,<100,<1,27,bad
<0,existing paid,used car,5493,<100,>=7,42,good
>=200,existing paid,radio/tv,1126,100<=X<500,>=7,49,good
0<=X<200,critical/other existing credit,radio/tv,1216,100<=X<500,<1,38,bad
<0,existing paid,new car,1207,<100,<1,24,bad
no checking,existing paid,new car,1309,unknown,1<=X<4,27,bad
>=200,critical/other existing credit,used car,2360,500<=X<1000,1<=X<4,36,good
0<=X<200,no credits/all paid,new car,6850,100<=X<500,unemployed,34,bad
no checking,existing paid,radio/tv,1413,<100,1<=X<4,28,good
no checking,existing paid,used car,8588,100<=X<500,>=7,45,good
<0,existing paid,new car,759,<100,4<=X<7,26,bad
no checking,existing paid,used car,4686,<100,1<=X<4,32,good
>=200,existing paid,business,2687,<100,4<=X<7,26,good
0<=X<200,delayed previously,radio/tv,5850,<100,1<=X<4,20,good
no checking,existing paid,new car,2255,unknown,<1,54,good
<0,critical/other existing credit,new car,609,<100,4<=X<7,37,good
<0,critical/other existing credit,new car,1361,<100,<1,40,good
no checking,critical/other existing credit,furniture/equipment,7127,<100,<1,23,bad
<0,existing paid,new car,1203,100<=X<500,>=7,43,good
no checking,critical/other existing credit,radio/tv,700,unknown,>=7,36,good
no checking,critical/other existing credit,repairs,5507,<100,>=7,44,good
<0,existing paid,radio/tv,3190,<100,1<=X<4,24,bad
<0,no credits/all paid,furniture/equipment,7119,<100,1<=X<4,53,bad
no checking,existing paid,used car,3488,100<=X<500,4<=X<7,23,good
0<=X<200,existing paid,radio/tv,1113,<100,1<=X<4,26,good
0<=X<200,existing paid,used car,7966,<100,<1,30,good
no checking,critical/other existing credit,education,1532,100<=X<500,1<=X<4,31,good
no checking,critical/other existing credit,radio/tv,1503,<100,4<=X<7,42,good
<0,existing paid,radio/tv,2302,<100,1<=X<4,31,bad
<0,existing paid,new car,662,<100,<1,41,good
0<=X<200,existing paid,education,2273,<100,4<=X<7,32,good
0<=X<200,existing paid,new car,2631,100<=X<500,1<=X<4,28,bad
no checking,delayed previously,used car,1503,<100,1<=X<4,41,good
no checking,existing paid,radio/tv,1311,100<=X<500,4<=X<7,26,good
no checking,existing paid,radio/tv,3105,unknown,<1,25,good
>=200,critical/other existing credit,education,2319,<100,<1,33,bad
<0,existing paid,new car,1374,unknown,unemployed,75,good
0<=X<200,critical/other existing credit,furniture/equipment,3612,<100,>=7,37,good
<0,existing paid,new car,7763,<100,>=7,42,bad
>=200,existing paid,furniture/equipment,3049,<100,<1,45,good
0<=X<200,existing paid,radio/tv,1534,<100,<1,23,bad
no checking,delayed previously,new car,2032,<100,>=7,60,good
<0,existing paid,furniture/equipment,6350,unknown,>=7,31,bad
>=200,existing paid,furniture/equipment,2864,<100,1<=X<4,34,bad
no checking,critical/other existing credit,new car,1255,<100,>=7,61,good
<0,delayed previously,new car,1333,<100,unemployed,43,bad
no checking,critical/other existing credit,new car,2022,<100,1<=X<4,37,good
no checking,existing paid,radio/tv,1552,<100,4<=X<7,32,good
<0,no credits/all paid,radio/tv,626,<100,1<=X<4,24,bad
no checking,critical/other existing credit,used car,8858,unknown,4<=X<7,35,good
no checking,critical/other existing credit,repairs,996,unknown,4<=X<7,23,good
no checking,no credits/all paid,radio/tv,1750,500<=X<1000,>=7,45,good
<0,existing paid,radio/tv,6999,<100,4<=X<7,34,bad
0<=X<200,critical/other existing credit,new car,1995,100<=X<500,<1,27,good
0<=X<200,existing paid,education,1199,<100,4<=X<7,67,good
0<=X<200,existing paid,radio/tv,1331,<100,<1,22,bad
0<=X<200,no credits/all paid,new car,2278,100<=X<500,<1,28,bad
no checking,no credits/all paid,new car,5003,unknown,1<=X<4,29,bad
<0,no credits/all paid,furniture/equipment,3552,<100,4<=X<7,27,bad
0<=X<200,critical/other existing credit,furniture/equipment,19280,<100,<1,31,bad
<0,existing paid,used car,2964,unknown,>=7,49,good
<0,no credits/all paid,radio/tv,1546,<100,4<=X<7,24,bad
>=200,delayed previously,radio/tv,683,<100,<1,29,good
0<=X<200,existing paid,new car,12389,unknown,1<=X<4,37,bad
0<=X<200,delayed previously,business,4712,unknown,1<=X<4,37,good
0<=X<200,delayed previously,radio/tv,1553,100<=X<500,4<=X<7,23,good
<0,existing paid,new car,1372,<100,4<=X<7,36,bad
no checking,critical/other existing credit,radio/tv,2578,>=1000,>=7,34,good
0<=X<200,existing paid,radio/tv,3979,unknown,4<=X<7,41,good
<0,existing paid,radio/tv,6758,<100,1<=X<4,31,bad
<0,existing paid,furniture/equipment,3234,<100,<1,23,bad
no checking,critical/other existing credit,radio/tv,5954,<100,4<=X<7,38,good
no checking,existing paid,used car,5433,unknown,unemployed,26,good
<0,existing paid,business,806,<100,1<=X<4,22,good
0<=X<200,existing paid,radio/tv,1082,<100,>=7,27,good
no checking,critical/other existing credit,furniture/equipment,2788,<100,4<=X<7,24,good
0<=X<200,existing paid,radio/tv,2930,<100,4<=X<7,27,good
no checking,critical/other existing credit,education,1927,unknown,1<=X<4,33,good
0<=X<200,critical/other existing credit,new car,2820,<100,<1,27,bad
no checking,existing paid,retraining,937,<100,<1,27,good
0<=X<200,critical/other existing credit,new car,1056,<100,>=7,30,bad
0<=X<200,critical/other existing credit,new car,3124,<100,<1,49,good
no checking,existing paid,furniture/equipment,1388,<100,1<=X<4,26,good
0<=X<200,existing paid,repairs,2384,<100,<1,33,bad
no checking,existing paid,new car,2133,unknown,>=7,52,good
<0,existing paid,furniture/equipment,2039,<100,1<=X<4,20,bad
<0,critical/other existing credit,new car,2799,<100,1<=X<4,36,good
<0,existing paid,furniture/equipment,1289,<100,1<=X<4,21,good
<0,existing paid,furniture/equipment,1217,<100,1<=X<4,47,bad
<0,critical/other existing credit,furniture/equipment,2246,<100,>=7,60,bad
<0,critical/other existing credit,radio/tv,385,<100,4<=X<7,58,good
0<=X<200,delayed previously,new car,1965,unknown,1<=X<4,42,good
no checking,existing paid,business,1572,>=1000,>=7,36,good
0<=X<200,existing paid,new car,2718,<100,1<=X<4,20,bad
<0,no credits/all paid,other,13580,unknown,>=7,40,bad
0<=X<200,no credits/all paid,new car,931,100<=X<500,<1,32,bad
<0,existing paid,new car,1442,<100,4<=X<7,23,bad
0<=X<200,no credits/all paid,business,4241,<100,1<=X<4,36,bad
no checking,critical/other existing credit,new car,2775,<100,4<=X<7,31,bad
no checking,delayed previously,business,3863,<100,1<=X<4,32,good
0<=X<200,existing paid,radio/tv,2329,<100,<1,45,good
0<=X<200,existing paid,furniture/equipment,918,<100,1<=X<4,30,bad
0<=X<200,no credits/all paid,education,1837,<100,4<=X<7,34,bad
no checking,existing paid,furniture/equipment,3349,<100,1<=X<4,28,bad
>=200,existing paid,furniture/equipment,1275,<100,<1,23,good
<0,no credits/all paid,furniture/equipment,2828,500<=X<1000,1<=X<4,22,good
no checking,critical/other existing credit,business,4526,<100,1<=X<4,74,good
0<=X<200,existing paid,radio/tv,2671,100<=X<500,1<=X<4,50,bad
no checking,existing paid,radio/tv,2051,<100,<1,33,good
no checking,existing paid,used car,1300,unknown,>=7,45,good
<0,existing paid,furniture/equipment,741,100<=X<500,unemployed,22,bad
>=200,existing paid,new car,1240,100<=X<500,>=7,48,bad
<0,existing paid,radio/tv,3357,>=1000,<1,29,good
<0,no credits/all paid,used car,3632,<100,1<=X<4,22,good
no checking,delayed previously,furniture/equipment,1808,<100,4<=X<7,22,bad
0<=X<200,no credits/all paid,business,12204,unknown,1<=X<4,48,good
0<=X<200,delayed previously,radio/tv,9157,unknown,1<=X<4,27,good
<0,critical/other existing credit,new car,3676,<100,1<=X<4,37,good
0<=X<200,existing paid,furniture/equipment,3441,100<=X<500,1<=X<4,21,bad
no checking,existing paid,new car,640,<100,1<=X<4,49,good
0<=X<200,critical/other existing credit,business,3652,<100,4<=X<7,27,good
no checking,critical/other existing credit,new car,1530,<100,1<=X<4,32,bad
no checking,existing paid,business,3914,unknown,1<=X<4,38,bad
<0,existing paid,furniture/equipment,1858,<100,<1,22,good
<0,existing paid,radio/tv,2600,<100,1<=X<4,65,bad
no checking,existing paid,radio/tv,1979,unknown,>=7,35,good
>=200,existing paid,furniture/equipment,2116,<100,1<=X<4,41,good
0<=X<200,no credits/all paid,new car,1437,100<=X<500,4<=X<7,29,bad
no checking,critical/other existing credit,furniture/equipment,4042,500<=X<1000,1<=X<4,36,good
no checking,existing paid,education,3832,unknown,>=7,64,good
<0,existing paid,radio/tv,3660,<100,1<=X<4,28,good
<0,no credits/all paid,furniture/equipment,1553,<100,1<=X<4,44,bad
0<=X<200,existing paid,radio/tv,1444,unknown,<1,23,good
no checking,existing paid,furniture/equipment,1980,<100,<1,19,bad
0<=X<200,existing paid,new car,1355,<100,<1,25,bad
no checking,existing paid,education,1393,<100,>=7,47,good
no checking,existing paid,radio/tv,1376,500<=X<1000,4<=X<7,28,good
no checking,delayed previously,radio/tv,15653,<100,4<=X<7,21,good
no checking,existing paid,radio/tv,1493,<100,<1,34,good
<0,delayed previously,radio/tv,4370,<100,4<=X<7,26,bad
<0,existing paid,education,750,<100,unemployed,27,bad
0<=X<200,existing paid,repairs,1308,<100,>=7,38,good
no checking,existing paid,education,4623,100<=X<500,1<=X<4,40,bad
no checking,critical/other existing credit,radio/tv,1851,<100,4<=X<7,33,good
<0,critical/other existing credit,radio/tv,1880,<100,4<=X<7,32,good
no checking,delayed previously,business,7980,unknown,<1,27,bad
<0,no credits/all paid,furniture/equipment,4583,<100,1<=X<4,32,good
no checking,existing paid,new car,13860,500<=X<1000,1<=X<4,26,bad
>=200,existing paid,new car,947,<100,4<=X<7,38,bad
<0,existing paid,education,684,<100,1<=X<4,40,bad
<0,existing paid,education,7476,<100,4<=X<7,50,good
0<=X<200,existing paid,furniture/equipment,1922,<100,1<=X<4,37,bad
<0,existing paid,new car,2303,<100,>=7,45,bad
0<=X<200,delayed previously,new car,8086,100<=X<500,>=7,42,bad
no checking,critical/other existing credit,used car,2346,<100,4<=X<7,35,good
<0,existing paid,new car,3973,<100,unemployed,22,good
0<=X<200,existing paid,new car,888,<100,>=7,41,bad
no checking,existing paid,radio/tv,10222,unknown,4<=X<7,37,good
0<=X<200,no credits/all paid,business,4221,<100,1<=X<4,28,good
0<=X<200,critical/other existing credit,furniture/equipment,6361,<100,>=7,41,good
>=200,existing paid,radio/tv,1297,<100,1<=X<4,23,good
<0,existing paid,new car,900,unknown,1<=X<4,23,bad
no checking,existing paid,furniture/equipment,2241,<100,>=7,50,good
0<=X<200,delayed previously,furniture/equipment,1050,<100,unemployed,35,good
>=200,critical/other existing credit,education,1047,<100,1<=X<4,50,good
no checking,critical/other existing credit,other,6314,<100,unemployed,27,good
0<=X<200,no credits/all paid,furniture/equipment,3496,>=1000,1<=X<4,34,good
no checking,no credits/all paid,business,3609,<100,1<=X<4,27,good
<0,critical/other existing credit,new car,4843,<100,>=7,43,bad
>=200,critical/other existing credit,radio/tv,3017,<100,>=7,47,good
no checking,critical/other existing credit,business,4139,100<=X<500,1<=X<4,27,good
no checking,existing paid,business,5742,100<=X<500,4<=X<7,31,good
no checking,existing paid,new car,10366,<100,>=7,42,good
no checking,critical/other existing credit,new car,2080,500<=X<1000,1<=X<4,24,good
no checking,delayed previously,business,2580,500<=X<1000,<1,41,bad
no checking,critical/other existing credit,radio/tv,4530,<100,4<=X<7,26,good
no checking,critical/other existing credit,furniture/equipment,5150,<100,>=7,33,good
0<=X<200,existing paid,radio/tv,5595,100<=X<500,1<=X<4,24,bad
<0,existing paid,radio/tv,2384,<100,>=7,64,good
no checking,existing paid,radio/tv,1453,<100,<1,26,good
no checking,existing paid,education,1538,<100,<1,56,good
no checking,existing paid,radio/tv,2279,unknown,1<=X<4,37,good
no checking,delayed previously,radio/tv,1478,<100,1<=X<4,33,good
no checking,critical/other existing credit,radio/tv,5103,<100,<1,47,good
0<=X<200,delayed previously,business,9857,100<=X<500,4<=X<7,31,good
no checking,existing paid,new car,6527,unknown,1<=X<4,34,good
>=200,critical/other existing credit,radio/tv,1347,unknown,4<=X<7,27,good
0<=X<200,delayed previously,new car,2862,100<=X<500,>=7,30,good
no checking,existing paid,radio/tv,2753,100<=X<500,>=7,35,good
<0,existing paid,new car,3651,>=1000,1<=X<4,31,good
<0,critical/other existing credit,furniture/equipment,975,<100,1<=X<4,25,good
0<=X<200,existing paid,repairs,2631,100<=X<500,1<=X<4,25,good
0<=X<200,existing paid,radio/tv,2896,100<=X<500,<1,29,good
<0,critical/other existing credit,new car,4716,unknown,<1,44,good
no checking,existing paid,radio/tv,2284,<100,4<=X<7,28,good
no checking,existing paid,used car,1236,500<=X<1000,1<=X<4,50,good
0<=X<200,existing paid,radio/tv,1103,<100,4<=X<7,29,good
no checking,critical/other existing credit,new car,926,<100,unemployed,38,good
no checking,critical/other existing credit,radio/tv,1800,<100,1<=X<4,24,good
>=200,existing paid,education,1905,<100,>=7,40,good
no checking,existing paid,furniture/equipment,1123,500<=X<1000,1<=X<4,29,bad
<0,critical/other existing credit,used car,6331,<100,>=7,46,bad
>=200,existing paid,radio/tv,1377,100<=X<500,>=7,47,good
0<=X<200,delayed previously,business,2503,100<=X<500,>=7,41,good
0<=X<200,existing paid,business,2528,<100,<1,32,good
no checking,existing paid,new car,5324,500<=X<1000,>=7,35,good
0<=X<200,existing paid,new car,6560,100<=X<500,4<=X<7,24,bad
0<=X<200,no credits/all paid,furniture/equipment,2969,<100,<1,25,bad
0<=X<200,existing paid,radio/tv,1206,<100,>=7,25,good
0<=X<200,existing paid,radio/tv,2118,<100,1<=X<4,37,good
no checking,critical/other existing credit,radio/tv,629,500<=X<1000,>=7,32,good
<0,no credits/all paid,education,1198,<100,>=7,35,bad
no checking,existing paid,used car,2476,unknown,>=7,46,good
<0,critical/other existing credit,radio/tv,1138,<100,1<=X<4,25,good
0<=X<200,existing paid,new car,14027,<100,4<=X<7,27,bad
no checking,critical/other existing credit,used car,7596,unknown,>=7,63,good
no checking,critical/other existing credit,radio/tv,3077,unknown,>=7,40,good
no checking,existing paid,radio/tv,1505,<100,1<=X<4,32,good
>=200,critical/other existing credit,radio/tv,3148,unknown,1<=X<4,31,good
0<=X<200,no credits/all paid,used car,6148,100<=X<500,>=7,31,good
>=200,no credits/all paid,radio/tv,1337,<100,<1,34,bad
0<=X<200,no credits/all paid,education,433,>=1000,<1,24,bad
<0,existing paid,new car,1228,<100,1<=X<4,24,bad
0<=X<200,existing paid,radio/tv,790,500<=X<1000,1<=X<4,66,good
no checking,existing paid,new car,2570,<100,1<=X<4,21,bad
no checking,critical/other existing credit,new car,250,>=1000,1<=X<4,41,good
no checking,critical/other existing credit,radio/tv,1316,500<=X<1000,1<=X<4,47,good
<0,existing paid,radio/tv,1882,<100,1<=X<4,25,bad
0<=X<200,no credits/all paid,business,6416,<100,>=7,59,bad
>=200,critical/other existing credit,business,1275,>=1000,1<=X<4,36,good
0<=X<200,delayed previously,radio/tv,6403,<100,<1,33,good
<0,existing paid,radio/tv,1987,<100,1<=X<4,21,bad
0<=X<200,existing paid,radio/tv,760,<100,4<=X<7,44,good
no checking,existing paid,used car,2603,>=1000,1<=X<4,28,good
no checking,critical/other existing credit,new car,3380,<100,4<=X<7,37,good
0<=X<200,no credits/all paid,furniture/equipment,3990,unknown,<1,29,good
0<=X<200,existing paid,used car,11560,<100,1<=X<4,23,bad
<0,existing paid,new car,4380,100<=X<500,1<=X<4,35,good
no checking,critical/other existing credit,new car,6761,<100,4<=X<7,45,good
0<=X<200,no credits/all paid,business,4280,100<=X<500,1<=X<4,26,bad
<0,no credits/all paid,new car,2325,100<=X<500,4<=X<7,32,good
0<=X<200,no credits/all paid,radio/tv,1048,<100,1<=X<4,23,good
no checking,existing paid,radio/tv,3160,unknown,>=7,41,good
<0,no credits/all paid,furniture/equipment,2483,500<=X<1000,1<=X<4,22,good
<0,critical/other existing credit,furniture/equipment,14179,unknown,4<=X<7,30,good
<0,critical/other existing credit,business,1797,<100,<1,28,good
<0,existing paid,new car,2511,<100,unemployed,23,good
<0,existing paid,new car,1274,<100,<1,37,bad
no checking,existing paid,used car,5248,unknown,1<=X<4,26,good
no checking,existing paid,used car,3029,<100,4<=X<7,33,good
<0,existing paid,furniture/equipment,428,<100,>=7,49,good
<0,existing paid,new car,976,<100,<1,23,bad
0<=X<200,existing paid,business,841,100<=X<500,4<=X<7,23,good
no checking,critical/other existing credit,radio/tv,5771,<100,4<=X<7,25,good
no checking,delayed previously,repairs,1555,>=1000,>=7,55,bad
<0,existing paid,new car,1285,unknown,4<=X<7,32,bad
>=200,critical/other existing credit,new car,1299,<100,1<=X<4,74,good
>=200,critical/other existing credit,radio/tv,1271,unknown,1<=X<4,39,bad
no checking,existing paid,new car,1393,<100,1<=X<4,31,good
<0,critical/other existing credit,new car,691,<100,>=7,35,bad
no checking,critical/other existing credit,new car,5045,unknown,>=7,59,good
<0,critical/other existing credit,furniture/equipment,2124,<100,1<=X<4,24,bad
<0,existing paid,radio/tv,2214,<100,1<=X<4,24,good
no checking,critical/other existing credit,new car,12680,unknown,>=7,30,bad
no checking,critical/other existing credit,new car,2463,100<=X<500,4<=X<7,27,good
0<=X<200,existing paid,radio/tv,1155,<100,>=7,40,good
<0,existing paid,furniture/equipment,3108,<100,<1,31,bad
no checking,existing paid,used car,2901,unknown,<1,31,good
0<=X<200,critical/other existing credit,furniture/equipment,3617,<100,>=7,28,good
no checking,critical/other existing credit,radio/tv,1655,<100,>=7,63,good
<0,existing paid,used car,2812,unknown,>=7,26,good
<0,critical/other existing credit,education,8065,<100,1<=X<4,25,bad
no checking,critical/other existing credit,used car,3275,<100,>=7,36,good
no checking,critical/other existing credit,radio/tv,2223,100<=X<500,>=7,52,good
>=200,critical/other existing credit,new car,1480,500<=X<1000,unemployed,66,good
<0,existing paid,new car,1371,unknown,1<=X<4,25,bad
no checking,critical/other existing credit,new car,3535,<100,4<=X<7,37,good
<0,existing paid,radio/tv,3509,<100,4<=X<7,25,good
no checking,critical/other existing credit,used car,5711,>=1000,>=7,38,good
0<=X<200,existing paid,repairs,3872,<100,unemployed,67,good
0<=X<200,critical/other existing credit,radio/tv,4933,<100,4<=X<7,25,bad
no checking,critical/other existing credit,new car,1940,>=1000,>=7,60,good
0<=X<200,no credits/all paid,retraining,1410,<100,1<=X<4,31,good
0<=X<200,existing paid,new car,836,100<=X<500,<1,23,bad
0<=X<200,existing paid,used car,6468,unknown,unemployed,60,good
0<=X<200,existing paid,business,1941,>=1000,1<=X<4,35,good
no checking,existing paid,radio/tv,2675,500<=X<1000,>=7,40,good
no checking,critical/other existing credit,used car,2751,unknown,>=7,38,good
0<=X<200,delayed previously,education,6224,<100,>=7,50,bad
<0,critical/other existing credit,education,5998,<100,1<=X<4,27,bad
0<=X<200,existing paid,business,1188,<100,>=7,39,bad
no checking,existing paid,used car,6313,unknown,>=7,41,good
no checking,critical/other existing credit,furniture/equipment,1221,unknown,1<=X<4,27,good
>=200,existing paid,furniture/equipment,2892,<100,>=7,51,good
no checking,existing paid,furniture/equipment,3062,500<=X<1000,>=7,32,good
no checking,existing paid,furniture/equipment,2301,100<=X<500,<1,22,good
<0,existing paid,used car,7511,unknown,>=7,51,bad
no checking,critical/other existing credit,furniture/equipment,1258,<100,<1,22,good
no checking,delayed previously,new car,717,unknown,>=7,54,good
0<=X<200,existing paid,new car,1549,unknown,<1,35,good
no checking,critical/other existing credit,education,1597,<100,>=7,54,good
0<=X<200,critical/other existing credit,radio/tv,1795,<100,>=7,48,good
<0,critical/other existing credit,furniture/equipment,4272,<100,>=7,24,good
no checking,critical/other existing credit,radio/tv,976,unknown,>=7,35,good
0<=X<200,existing paid,new car,7472,unknown,unemployed,24,good
<0,existing paid,new car,9271,<100,4<=X<7,24,bad
0<=X<200,existing paid,radio/tv,590,<100,<1,26,good
no checking,critical/other existing credit,radio/tv,930,unknown,>=7,65,good
0<=X<200,no credits/all paid,used car,9283,<100,unemployed,55,good
0<=X<200,no credits/all paid,new car,1778,<100,<1,26,bad
0<=X<200,existing paid,business,907,<100,<1,26,good
0<=X<200,existing paid,radio/tv,484,<100,4<=X<7,28,good
<0,critical/other existing credit,used car,9629,<100,4<=X<7,24,bad
<0,existing paid,furniture/equipment,3051,<100,1<=X<4,54,bad
<0,existing paid,new car,3931,<100,4<=X<7,46,bad
0<=X<200,delayed previously,new car,7432,<100,1<=X<4,54,good
no checking,existing paid,furniture/equipment,1338,500<=X<1000,1<=X<4,62,good
no checking,critical/other existing credit,radio/tv,1554,<100,4<=X<7,24,good
<0,existing paid,other,15857,<100,unemployed,43,good
<0,existing paid,radio/tv,1345,<100,1<=X<4,26,bad
no checking,existing paid,new car,1101,<100,1<=X<4,27,good
>=200,existing paid,radio/tv,3016,<100,1<=X<4,24,good
<0,existing paid,furniture/equipment,2712,<100,>=7,41,bad
<0,critical/other existing credit,new car,731,<100,>=7,47,good
no checking,critical/other existing credit,furniture/equipment,3780,<100,<1,35,good
<0,critical/other existing credit,new car,1602,<100,>=7,30,good
<0,critical/other existing credit,new car,3966,<100,>=7,33,bad
no checking,no credits/all paid,business,4165,<100,1<=X<4,36,bad
<0,existing paid,used car,8335,unknown,>=7,47,bad
0<=X<200,delayed previously,business,6681,unknown,1<=X<4,38,good
no checking,delayed previously,business,2375,500<=X<1000,1<=X<4,44,good
<0,existing paid,new car,1216,<100,<1,23,bad
<0,no credits/all paid,business,11816,<100,>=7,29,bad
0<=X<200,existing paid,radio/tv,5084,unknown,>=7,42,good
>=200,existing paid,radio/tv,2327,<100,<1,25,bad
<0,no credits/all paid,new car,1082,<100,1<=X<4,48,bad
no checking,existing paid,radio/tv,886,unknown,1<=X<4,21,good
no checking,existing paid,furniture/equipment,601,<100,<1,23,good
<0,critical/other existing credit,used car,2957,<100,>=7,63,good
no checking,critical/other existing credit,radio/tv,2611,<100,>=7,46,good
<0,existing paid,furniture/equipment,5179,<100,4<=X<7,29,bad
no checking,delayed previously,used car,2993,<100,1<=X<4,28,good
no checking,existing paid,repairs,1943,<100,<1,23,bad
no checking,no credits/all paid,business,1559,<100,4<=X<7,50,good
no checking,existing paid,furniture/equipment,3422,<100,>=7,47,good
0<=X<200,existing paid,furniture/equipment,3976,unknown,4<=X<7,35,good
no checking,existing paid,new car,6761,unknown,1<=X<4,68,bad
no checking,existing paid,new car,1249,<100,<1,28,good
<0,existing paid,radio/tv,1364,<100,4<=X<7,59,good
<0,existing paid,radio/tv,709,<100,>=7,57,bad
<0,critical/other existing credit,new car,2235,<100,1<=X<4,33,bad
no checking,critical/other existing credit,used car,4042,unknown,4<=X<7,43,good
no checking,critical/other existing credit,radio/tv,1471,<100,1<=X<4,35,good
<0,no credits/all paid,new car,1442,<100,4<=X<7,32,bad
no checking,delayed previously,new car,10875,<100,>=7,45,good
no checking,existing paid,new car,1474,100<=X<500,<1,33,good
no checking,existing paid,retraining,894,unknown,4<=X<7,40,good
no checking,critical/other existing credit,furniture/equipment,3343,<100,1<=X<4,28,good
<0,existing paid,new car,3959,<100,1<=X<4,29,bad
no checking,existing paid,new car,3577,100<=X<500,1<=X<4,26,good
