Checking Status,Credit History,Purpose,Saving Status,Employment,Personal Status,Job,Age and Credit,Class
0<=X<200,existing paid,new car,<100,4<=X<7,male mar/wid/div/sep,unskilled resident,171.25,bad
>=200,existing paid,new car,unknown,<1,male single,unskilled resident,433.26,good
<0,no credits/all paid,furniture/equipment,<100,>=7,male single,skilled,851.26,bad
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,unskilled resident,269.04,good
0<=X<200,existing paid,furniture/equipment,unknown,1<=X<4,female div/sep/mar,unskilled resident,2088.48,good
no checking,critical/other existing credit,education,<100,1<=X<4,male single,skilled,224.32,good
<0,delayed previously,furniture/equipment,<100,>=7,female div/sep/mar,unskilled resident,983.61,good
0<=X<200,critical/other existing credit,new car,<100,unemployed,male mar/wid/div/sep,high qualif/self emp/mgmt,1189.72,bad
<0,existing paid,radio/tv,<100,<1,male mar/wid/div/sep,skilled,620.16,bad
<0,existing paid,used car,<100,4<=X<7,male single,high qualif/self emp/mgmt,989.4,good
<0,existing paid,furniture/equipment,>=1000,1<=X<4,male single,skilled,744.52,good
no checking,critical/other existing credit,new car,<100,1<=X<4,female div/sep/mar,skilled,370.08,good
<0,critical/other existing credit,new car,<100,4<=X<7,male single,unskilled resident,1325.22,good
no checking,critical/other existing credit,furniture/equipment,unknown,>=7,male single,skilled,2842.49,good
no checking,existing paid,new car,>=1000,4<=X<7,female div/sep/mar,skilled,518.5,good
>=200,existing paid,radio/tv,<100,>=7,male single,skilled,1386.63,good
0<=X<200,existing paid,radio/tv,<100,>=7,male single,skilled,299.04,good
<0,critical/other existing credit,used car,<100,unemployed,male single,high qualif/self emp/mgmt,4961.25,good
no checking,critical/other existing credit,education,100<=X<500,1<=X<4,female div/sep/mar,skilled,559.2,bad
0<=X<200,existing paid,new car,100<=X<500,<1,female div/sep/mar,high qualif/self emp/mgmt,1777.92,bad
no checking,critical/other existing credit,used car,100<=X<500,1<=X<4,female div/sep/mar,unskilled resident,2781.6,bad
<0,no credits/all paid,furniture/equipment,<100,>=7,male single,skilled,945.3,bad
<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,male mar/wid/div/sep,high qualif/self emp/mgmt,1488.96,bad
0<=X<200,existing paid,radio/tv,<100,<1,female div/sep/mar,unskilled resident,483.23,good
<0,existing paid,furniture/equipment,unknown,1<=X<4,female div/sep/mar,skilled,306,bad
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,1167.32,good
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,male mar/wid/div/sep,unskilled resident,471.51,good
0<=X<200,critical/other existing credit,education,<100,<1,female div/sep/mar,skilled,1378.32,good
<0,existing paid,furniture/equipment,<100,4<=X<7,female div/sep/mar,unskilled resident,935.74,good
0<=X<200,existing paid,radio/tv,500<=X<1000,<1,male mar/wid/div/sep,skilled,803.25,good
0<=X<200,existing paid,business,<100,>=7,male single,high qualif/self emp/mgmt,1464.87,good
>=200,existing paid,new car,<100,<1,male single,unskilled resident,1461.13,good
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/sep/mar,unskilled resident,627.37,good
0<=X<200,critical/other existing credit,radio/tv,<100,<1,male single,skilled,202.86,good
0<=X<200,existing paid,radio/tv,500<=X<1000,unemployed,female div/sep/mar,unemp/unskilled non res,864.34,good
no checking,delayed previously,business,100<=X<500,1<=X<4,male single,unskilled resident,592.62,good
0<=X<200,critical/other existing credit,education,>=1000,>=7,male single,skilled,363.52,bad
no checking,existing paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,284.28,good
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,278.11,bad
no checking,critical/other existing credit,used car,unknown,unemployed,male single,high qualif/self emp/mgmt,1227.02,good
<0,no credits/all paid,radio/tv,<100,1<=X<4,male single,skilled,1735.72,bad
no checking,existing paid,education,500<=X<1000,>=7,male single,skilled,334.42,good
0<=X<200,existing paid,new car,<100,<1,male single,unskilled resident,286.58,bad
no checking,critical/other existing credit,radio/tv,unknown,>=7,male single,skilled,1142.19,good
no checking,delayed previously,radio/tv,<100,1<=X<4,male single,high qualif/self emp/mgmt,1160.38,bad
no checking,existing paid,radio/tv,<100,1<=X<4,male mar/wid/div/sep,skilled,217.28,good
<0,existing paid,furniture/equipment,<100,4<=X<7,female div/sep/mar,skilled,553.38,bad
0<=X<200,existing paid,education,unknown,1<=X<4,male single,skilled,755.79,good
>=200,existing paid,radio/tv,unknown,>=7,male single,high qualif/self emp/mgmt,1257.63,good
>=200,delayed previously,new car,<100,1<=X<4,female div/sep/mar,skilled,808.92,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,male mar/wid/div/sep,skilled,370.86,good
<0,existing paid,furniture/equipment,<100,unemployed,male single,unemp/unskilled non res,618.25,bad
no checking,existing paid,business,<100,4<=X<7,male single,skilled,555.12,good
no checking,critical/other existing credit,used car,<100,4<=X<7,male single,skilled,1039.5,good
<0,existing paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,803,good
<0,existing paid,furniture/equipment,<100,>=7,male single,skilled,1447.32,bad
0<=X<200,existing paid,furniture/equipment,<100,4<=X<7,female div/sep/mar,skilled,1200.4,good
no checking,existing paid,new car,unknown,1<=X<4,male single,skilled,1108.44,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male single,skilled,2003.1,good
no checking,critical/other existing credit,furniture/equipment,<100,<1,female div/sep/mar,skilled,493.58,good
no checking,critical/other existing credit,new car,unknown,>=7,male single,high qualif/self emp/mgmt,8666.28,good
0<=X<200,no credits/all paid,other,100<=X<500,>=7,female div/sep/mar,high qualif/self emp/mgmt,8869.2,bad
<0,no credits/all paid,business,<100,4<=X<7,female div/sep/mar,skilled,2843.45,bad
no checking,delayed previously,radio/tv,<100,unemployed,male mar/wid/div/sep,skilled,788.8,good
no checking,delayed previously,radio/tv,unknown,>=7,male single,skilled,304.56,good
0<=X<200,existing paid,new car,<100,>=7,male single,high qualif/self emp/mgmt,8161.26,bad
no checking,critical/other existing credit,new car,100<=X<500,1<=X<4,female div/sep/mar,unskilled resident,188.24,good
<0,existing paid,furniture/equipment,unknown,4<=X<7,male single,skilled,862.68,good
0<=X<200,existing paid,used car,<100,unemployed,female div/sep/mar,high qualif/self emp/mgmt,4930.88,bad
no checking,existing paid,new car,unknown,4<=X<7,female div/sep/mar,skilled,320.75,good
>=200,existing paid,new car,<100,<1,male single,skilled,345.8,good
no checking,delayed previously,business,100<=X<500,1<=X<4,male single,unskilled resident,1110.72,good
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,559.5,good
no checking,existing paid,radio/tv,unknown,<1,female div/sep/mar,skilled,236.46,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,unemployed,male single,high qualif/self emp/mgmt,2949.6,good
0<=X<200,critical/other existing credit,business,500<=X<1000,1<=X<4,male single,skilled,628.02,good
no checking,existing paid,business,<100,4<=X<7,female div/sep/mar,skilled,391.23,good
no checking,existing paid,new car,<100,1<=X<4,male mar/wid/div/sep,high qualif/self emp/mgmt,546,good
0<=X<200,existing paid,furniture/equipment,>=1000,<1,female div/sep/mar,unskilled resident,186.77,good
<0,existing paid,new car,<100,4<=X<7,male single,high qualif/self emp/mgmt,1267.11,good
<0,critical/other existing credit,radio/tv,<100,4<=X<7,female div/sep/mar,skilled,606.67,good
no checking,critical/other existing credit,furniture/equipment,<100,unemployed,male single,high qualif/self emp/mgmt,745.86,good
0<=X<200,delayed previously,education,100<=X<500,4<=X<7,male single,skilled,3763.2,good
<0,existing paid,furniture/equipment,<100,unemployed,female div/sep/mar,high qualif/self emp/mgmt,1417.9,good
<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,male mar/wid/div/sep,skilled,1080.08,good
0<=X<200,existing paid,new car,<100,>=7,male mar/wid/div/sep,skilled,562.58,bad
no checking,critical/other existing credit,radio/tv,>=1000,1<=X<4,female div/sep/mar,unskilled resident,651.88,good
no checking,existing paid,radio/tv,<100,<1,male mar/wid/div/sep,skilled,574.47,good
0<=X<200,critical/other existing credit,business,unknown,1<=X<4,male mar/wid/div/sep,skilled,528.36,good
no checking,delayed previously,business,<100,<1,male single,skilled,2334.96,bad
no checking,delayed previously,new car,<100,1<=X<4,male single,unskilled resident,216.54,good
0<=X<200,delayed previously,new car,unknown,>=7,male single,skilled,1246.57,good
0<=X<200,existing paid,radio/tv,<100,<1,male mar/wid/div/sep,skilled,448.58,bad
no checking,critical/other existing credit,used car,unknown,4<=X<7,male single,skilled,944.71,good
<0,existing paid,radio/tv,<100,<1,male mar/wid/div/sep,skilled,284.31,good
no checking,existing paid,radio/tv,500<=X<1000,>=7,male mar/wid/div/sep,high qualif/self emp/mgmt,841.1,good
>=200,critical/other existing credit,new car,500<=X<1000,4<=X<7,male mar/wid/div/sep,skilled,262.92,bad
0<=X<200,existing paid,radio/tv,<100,>=7,female div/sep/mar,skilled,393.4,good
no checking,critical/other existing credit,used car,<100,4<=X<7,male single,high qualif/self emp/mgmt,2538.55,good
no checking,critical/other existing credit,business,<100,unemployed,male single,high qualif/self emp/mgmt,962.64,bad
no checking,existing paid,new car,500<=X<1000,1<=X<4,male single,unskilled resident,638.8,good
<0,existing paid,new car,unknown,1<=X<4,female div/sep/mar,skilled,483.35,bad
no checking,critical/other existing credit,used car,<100,>=7,male single,skilled,2044.7,good
<0,existing paid,new car,<100,<1,male single,unskilled resident,851.07,bad
<0,delayed previously,education,unknown,1<=X<4,female div/sep/mar,skilled,1948.33,good
no checking,existing paid,new car,500<=X<1000,4<=X<7,female div/sep/mar,high qualif/self emp/mgmt,862.42,good
0<=X<200,existing paid,new car,unknown,1<=X<4,female div/sep/mar,skilled,343.86,bad
no checking,existing paid,new car,>=1000,4<=X<7,female div/sep/mar,skilled,637.2,good
0<=X<200,existing paid,used car,unknown,1<=X<4,male single,skilled,608.4,good
0<=X<200,critical/other existing credit,new car,<100,4<=X<7,male single,unskilled resident,450.26,good
no checking,delayed previously,furniture/equipment,100<=X<500,4<=X<7,male single,high qualif/self emp/mgmt,540.94,good
0<=X<200,existing paid,furniture/equipment,unknown,>=7,female div/sep/mar,skilled,690.5,bad
0<=X<200,existing paid,used car,<100,1<=X<4,male mar/wid/div/sep,skilled,583.59,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male single,skilled,795.47,good
no checking,critical/other existing credit,radio/tv,>=1000,1<=X<4,male single,skilled,528.54,good
no checking,existing paid,furniture/equipment,<100,>=7,male single,skilled,262.6,good
<0,critical/other existing credit,repairs,<100,unemployed,female div/sep/mar,unemp/unskilled non res,654.5,bad
no checking,existing paid,business,<100,4<=X<7,male single,unskilled resident,2551.52,good
0<=X<200,existing paid,other,<100,1<=X<4,male single,high qualif/self emp/mgmt,3851.2,bad
<0,critical/other existing credit,furniture/equipment,<100,unemployed,male single,high qualif/self emp/mgmt,673.92,good
no checking,critical/other existing credit,repairs,<100,1<=X<4,male mar/wid/div/sep,skilled,679.14,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,534,good
0<=X<200,existing paid,radio/tv,unknown,1<=X<4,male mar/wid/div/sep,skilled,371,bad
no checking,existing paid,repairs,500<=X<1000,4<=X<7,male mar/wid/div/sep,unskilled resident,151.8,good
no checking,critical/other existing credit,new car,>=1000,>=7,female div/sep/mar,skilled,476.19,good
<0,critical/other existing credit,repairs,<100,unemployed,male single,unemp/unskilled non res,2206.1,good
>=200,no credits/all paid,business,<100,<1,female div/sep/mar,unemp/unskilled non res,158.34,bad
no checking,existing paid,new car,<100,>=7,male single,high qualif/self emp/mgmt,734.76,good
<0,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,486,good
0<=X<200,delayed previously,other,<100,1<=X<4,male single,skilled,762.41,good
no checking,existing paid,education,<100,>=7,male single,unskilled resident,2947.9,bad
0<=X<200,critical/other existing credit,furniture/equipment,<100,1<=X<4,female div/sep/mar,high qualif/self emp/mgmt,1528.8,bad
no checking,critical/other existing credit,education,unknown,>=7,female div/sep/mar,unskilled resident,510.04,good
<0,existing paid,new car,<100,<1,female div/sep/mar,skilled,626.28,bad
0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,skilled,901.6,good
>=200,existing paid,furniture/equipment,unknown,>=7,female div/sep/mar,high qualif/self emp/mgmt,783.2,good
0<=X<200,delayed previously,repairs,>=1000,1<=X<4,male mar/wid/div/sep,skilled,922.32,bad
no checking,critical/other existing credit,used car,unknown,1<=X<4,male single,high qualif/self emp/mgmt,3316.2,good
no checking,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,1502.2,good
no checking,no credits/all paid,furniture/equipment,<100,>=7,male single,skilled,938.06,good
no checking,existing paid,used car,<100,>=7,male single,high qualif/self emp/mgmt,934.5,good
<0,existing paid,new car,<100,4<=X<7,male single,skilled,1493.27,bad
no checking,existing paid,used car,<100,<1,female div/sep/mar,high qualif/self emp/mgmt,776.91,good
<0,critical/other existing credit,new car,<100,1<=X<4,male single,skilled,1405.8,good
<0,existing paid,used car,<100,>=7,male single,skilled,1185.1,bad
<0,existing paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,92.61,good
no checking,existing paid,radio/tv,<100,<1,male single,skilled,1470.08,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,1339.4,good
<0,existing paid,new car,<100,<1,male single,skilled,619.56,good
0<=X<200,existing paid,furniture/equipment,<100,<1,female div/sep/mar,high qualif/self emp/mgmt,1025.78,good
0<=X<200,existing paid,retraining,unknown,>=7,male single,skilled,286.52,good
no checking,existing paid,business,<100,4<=X<7,male single,skilled,663,good
<0,existing paid,used car,<100,1<=X<4,male single,skilled,1842.12,good
<0,delayed previously,radio/tv,<100,<1,female div/sep/mar,unskilled resident,481.11,bad
no checking,delayed previously,radio/tv,unknown,>=7,male single,skilled,2316.16,good
no checking,delayed previously,business,<100,1<=X<4,female div/sep/mar,skilled,718.64,good
no checking,delayed previously,used car,<100,4<=X<7,male single,unskilled resident,1637.65,good
0<=X<200,existing paid,radio/tv,100<=X<500,<1,male mar/wid/div/sep,skilled,680.24,bad
<0,existing paid,education,<100,<1,female div/sep/mar,skilled,103.04,bad
<0,existing paid,new car,<100,1<=X<4,male single,unskilled resident,183.12,bad
no checking,existing paid,retraining,unknown,unemployed,male single,high qualif/self emp/mgmt,445.68,good
0<=X<200,critical/other existing credit,radio/tv,<100,1<=X<4,male mar/wid/div/sep,skilled,410.85,bad
<0,no credits/all paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,809.64,bad
no checking,existing paid,used car,500<=X<1000,1<=X<4,male single,skilled,616.56,good
>=200,existing paid,radio/tv,<100,4<=X<7,male single,skilled,1288,good
0<=X<200,existing paid,business,100<=X<500,4<=X<7,male single,unskilled resident,404.43,good
<0,critical/other existing credit,furniture/equipment,<100,>=7,male single,skilled,650.32,good
0<=X<200,critical/other existing credit,radio/tv,<100,1<=X<4,female div/sep/mar,unskilled resident,821.79,good
0<=X<200,existing paid,new car,<100,<1,male single,skilled,312.26,good
<0,existing paid,furniture/equipment,>=1000,>=7,female div/sep/mar,skilled,2064.54,good
no checking,delayed previously,furniture/equipment,>=1000,4<=X<7,female div/sep/mar,skilled,288,good
no checking,critical/other existing credit,new car,500<=X<1000,1<=X<4,male single,skilled,511.72,good
0<=X<200,delayed previously,new car,<100,unemployed,male single,high qualif/self emp/mgmt,568.23,bad
no checking,existing paid,radio/tv,<100,1<=X<4,male single,skilled,1600.04,good
no checking,existing paid,new car,<100,>=7,female div/sep/mar,skilled,2329.34,good
no checking,existing paid,new car,100<=X<500,1<=X<4,male single,unskilled resident,496.3,good
no checking,existing paid,new car,<100,1<=X<4,male single,skilled,914.68,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male single,skilled,502.84,good
0<=X<200,no credits/all paid,business,<100,>=7,female div/sep/mar,high qualif/self emp/mgmt,3493.56,bad
no checking,critical/other existing credit,radio/tv,100<=X<500,1<=X<4,female div/sep/mar,skilled,333.99,good
0<=X<200,existing paid,radio/tv,unknown,>=7,male single,skilled,139.84,good
<0,critical/other existing credit,new car,<100,1<=X<4,male single,unskilled resident,827.58,good
<0,existing paid,furniture/equipment,unknown,1<=X<4,male mar/wid/div/sep,skilled,599.2,bad
0<=X<200,existing paid,furniture/equipment,100<=X<500,<1,male single,high qualif/self emp/mgmt,2619.86,bad
no checking,critical/other existing credit,furniture/equipment,<100,4<=X<7,male single,skilled,634,good
0<=X<200,existing paid,radio/tv,<100,>=7,male mar/wid/div/sep,unskilled resident,416.32,good
>=200,critical/other existing credit,new car,100<=X<500,>=7,male mar/wid/div/sep,skilled,370.44,good
<0,existing paid,new car,<100,<1,female div/sep/mar,skilled,843.21,bad
<0,existing paid,used car,<100,>=7,male single,skilled,2307.06,good
>=200,existing paid,radio/tv,100<=X<500,>=7,male mar/wid/div/sep,skilled,551.74,good
0<=X<200,critical/other existing credit,radio/tv,100<=X<500,<1,male single,skilled,462.08,bad
<0,existing paid,new car,<100,<1,female div/sep/mar,skilled,289.68,bad
no checking,existing paid,new car,unknown,1<=X<4,male single,unskilled resident,353.43,bad
>=200,critical/other existing credit,used car,500<=X<1000,1<=X<4,male single,skilled,849.6,good
0<=X<200,no credits/all paid,new car,100<=X<500,unemployed,male single,high qualif/self emp/mgmt,2329,bad
no checking,existing paid,radio/tv,<100,1<=X<4,male mar/wid/div/sep,skilled,395.64,good
no checking,existing paid,used car,100<=X<500,>=7,male single,high qualif/self emp/mgmt,3864.6,good
<0,existing paid,new car,<100,4<=X<7,male single,skilled,197.34,bad
no checking,existing paid,used car,<100,1<=X<4,male single,high qualif/self emp/mgmt,1499.52,good
>=200,existing paid,business,<100,4<=X<7,male single,skilled,698.62,good
0<=X<200,delayed previously,radio/tv,<100,1<=X<4,male mar/wid/div/sep,skilled,1170,good
no checking,existing paid,new car,unknown,<1,male single,skilled,1217.7,good
<0,critical/other existing credit,new car,<100,4<=X<7,female div/sep/mar,skilled,225.33,good
<0,critical/other existing credit,new car,<100,<1,male single,unskilled resident,544.4,good
no checking,critical/other existing credit,furniture/equipment,<100,<1,female div/sep/mar,skilled,1639.21,bad
<0,existing paid,new car,100<=X<500,>=7,male single,skilled,517.29,good
no checking,critical/other existing credit,radio/tv,unknown,>=7,male single,skilled,252,good
no checking,critical/other existing credit,repairs,<100,>=7,male single,skilled,2423.08,good
<0,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,765.6,bad
<0,no credits/all paid,furniture/equipment,<100,1<=X<4,male single,skilled,3773.07,bad
no checking,existing paid,used car,100<=X<500,4<=X<7,female div/sep/mar,skilled,802.24,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,unskilled resident,289.38,good
0<=X<200,existing paid,used car,<100,<1,male single,skilled,2389.8,good
no checking,critical/other existing credit,education,100<=X<500,1<=X<4,female div/sep/mar,skilled,474.92,good
no checking,critical/other existing credit,radio/tv,<100,4<=X<7,male single,unskilled resident,631.26,good
<0,existing paid,radio/tv,<100,1<=X<4,male mar/wid/div/sep,skilled,713.62,bad
<0,existing paid,new car,<100,<1,male single,unskilled resident,271.42,good
0<=X<200,existing paid,education,<100,4<=X<7,male single,skilled,727.36,good
0<=X<200,existing paid,new car,100<=X<500,1<=X<4,female div/sep/mar,skilled,736.68,bad
no checking,delayed previously,used car,<100,1<=X<4,male mar/wid/div/sep,skilled,616.23,good
no checking,existing paid,radio/tv,100<=X<500,4<=X<7,male mar/wid/div/sep,skilled,340.86,good
no checking,existing paid,radio/tv,unknown,<1,male single,skilled,776.25,good
>=200,critical/other existing credit,education,<100,<1,male mar/wid/div/sep,skilled,765.27,bad
<0,existing paid,new car,unknown,unemployed,female div/sep/mar,high qualif/self emp/mgmt,1030.5,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,>=7,female div/sep/mar,skilled,1336.44,good
<0,existing paid,new car,<100,>=7,male single,high qualif/self emp/mgmt,3260.46,bad
>=200,existing paid,furniture/equipment,<100,<1,female div/sep/mar,unskilled resident,1372.05,good
0<=X<200,existing paid,radio/tv,<100,<1,male mar/wid/div/sep,skilled,352.82,bad
no checking,delayed previously,new car,<100,>=7,male single,skilled,1219.2,good
<0,existing paid,furniture/equipment,unknown,>=7,male single,skilled,1968.5,bad
>=200,existing paid,furniture/equipment,<100,1<=X<4,male single,unskilled resident,973.76,bad
no checking,critical/other existing credit,new car,<100,>=7,male single,unskilled resident,765.55,good
<0,delayed previously,new car,<100,unemployed,male single,skilled,573.19,bad
no checking,critical/other existing credit,new car,<100,1<=X<4,female div/sep/mar,skilled,748.14,good
no checking,existing paid,radio/tv,<100,4<=X<7,male single,skilled,496.64,good
<0,no credits/all paid,radio/tv,<100,1<=X<4,female div/sep/mar,unskilled resident,150.24,bad
no checking,critical/other existing credit,used car,unknown,4<=X<7,male single,skilled,3100.3,good
no checking,critical/other existing credit,repairs,unknown,4<=X<7,female div/sep/mar,skilled,229.08,good
no checking,no credits/all paid,radio/tv,500<=X<1000,>=7,male single,unskilled resident,787.5,good
<0,existing paid,radio/tv,<100,4<=X<7,male mar/wid/div/sep,skilled,2379.66,bad
0<=X<200,critical/other existing credit,new car,100<=X<500,<1,male single,skilled,538.65,good
0<=X<200,existing paid,education,<100,4<=X<7,female div/sep/mar,high qualif/self emp/mgmt,803.33,good
0<=X<200,existing paid,radio/tv,<100,<1,male single,skilled,292.82,bad
0<=X<200,no credits/all paid,new car,100<=X<500,<1,female div/sep/mar,skilled,637.84,bad
no checking,no credits/all paid,new car,unknown,1<=X<4,female div/sep/mar,skilled,1450.87,bad
<0,no credits/all paid,furniture/equipment,<100,4<=X<7,male single,skilled,959.04,bad
0<=X<200,critical/other existing credit,furniture/equipment,<100,<1,male single,unskilled resident,5976.8,bad
<0,existing paid,used car,unknown,>=7,male single,skilled,1452.36,good
<0,no credits/all paid,radio/tv,<100,4<=X<7,male single,unskilled resident,371.04,bad
>=200,delayed previously,radio/tv,<100,<1,female div/sep/mar,skilled,198.07,good
0<=X<200,existing paid,new car,unknown,1<=X<4,male single,skilled,4583.93,bad
0<=X<200,delayed previously,business,unknown,1<=X<4,male single,high qualif/self emp/mgmt,1743.44,good
0<=X<200,delayed previously,radio/tv,100<=X<500,4<=X<7,female div/sep/mar,skilled,357.19,good
<0,existing paid,new car,<100,4<=X<7,male mar/wid/div/sep,skilled,493.92,bad
no checking,critical/other existing credit,radio/tv,>=1000,>=7,male single,skilled,876.52,good
0<=X<200,existing paid,radio/tv,unknown,4<=X<7,male single,skilled,1631.39,good
<0,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,2094.98,bad
<0,existing paid,furniture/equipment,<100,<1,female div/sep/mar,unskilled resident,743.82,bad
no checking,critical/other existing credit,radio/tv,<100,4<=X<7,male single,skilled,2262.52,good
no checking,existing paid,used car,unknown,unemployed,female div/sep/mar,high qualif/self emp/mgmt,1412.58,good
<0,existing paid,business,<100,1<=X<4,female div/sep/mar,unskilled resident,177.32,good
0<=X<200,existing paid,radio/tv,<100,>=7,male single,unskilled resident,292.14,good
no checking,critical/other existing credit,furniture/equipment,<100,4<=X<7,female div/sep/mar,skilled,669.12,good
0<=X<200,existing paid,radio/tv,<100,4<=X<7,female div/sep/mar,skilled,791.1,good
no checking,critical/other existing credit,education,unknown,1<=X<4,female div/sep/mar,skilled,635.91,good
0<=X<200,critical/other existing credit,new car,<100,<1,male mar/wid/div/sep,skilled,761.4,bad
no checking,existing paid,retraining,<100,<1,male mar/wid/div/sep,unskilled resident,252.99,good
0<=X<200,critical/other existing credit,new car,<100,>=7,male single,skilled,316.8,bad
0<=X<200,critical/other existing credit,new car,<100,<1,male single,unskilled resident,1530.76,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,360.88,good
0<=X<200,existing paid,repairs,<100,<1,male single,unskilled resident,786.72,bad
no checking,existing paid,new car,unknown,>=7,female div/sep/mar,high qualif/self emp/mgmt,1109.16,good
<0,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,407.8,bad
<0,critical/other existing credit,new car,<100,1<=X<4,male single,skilled,1007.64,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,unskilled resident,270.69,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male mar/wid/div/sep,unskilled resident,571.99,bad
<0,critical/other existing credit,furniture/equipment,<100,>=7,male single,skilled,1347.6,bad
<0,critical/other existing credit,radio/tv,<100,4<=X<7,female div/sep/mar,unskilled resident,223.3,good
0<=X<200,delayed previously,new car,unknown,1<=X<4,female div/sep/mar,skilled,825.3,good
no checking,existing paid,business,>=1000,>=7,female div/sep/mar,unskilled resident,565.92,good
0<=X<200,existing paid,new car,<100,1<=X<4,female div/sep/mar,unskilled resident,543.6,bad
<0,no credits/all paid,other,unknown,>=7,male single,high qualif/self emp/mgmt,5432,bad
0<=X<200,no credits/all paid,new car,100<=X<500,<1,female div/sep/mar,unskilled resident,297.92,bad
<0,existing paid,new car,<100,4<=X<7,female div/sep/mar,skilled,331.66,bad
0<=X<200,no credits/all paid,business,<100,1<=X<4,male single,unskilled resident,1526.76,bad
no checking,critical/other existing credit,new car,<100,4<=X<7,male single,skilled,860.25,bad
no checking,delayed previously,business,<100,1<=X<4,male single,skilled,1236.16,good
0<=X<200,existing paid,radio/tv,<100,<1,female div/sep/mar,skilled,1048.05,good
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,275.4,bad
0<=X<200,no credits/all paid,education,<100,4<=X<7,female div/sep/mar,unskilled resident,624.58,bad
no checking,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,high qualif/self emp/mgmt,937.72,bad
>=200,existing paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,293.25,good
<0,no credits/all paid,furniture/equipment,500<=X<1000,1<=X<4,male single,skilled,622.16,good
no checking,critical/other existing credit,business,<100,1<=X<4,male single,high qualif/self emp/mgmt,3349.24,good
0<=X<200,existing paid,radio/tv,100<=X<500,1<=X<4,female div/sep/mar,skilled,1335.5,bad
no checking,existing paid,radio/tv,<100,<1,male single,skilled,676.83,good
no checking,existing paid,used car,unknown,>=7,male single,skilled,585,good
<0,existing paid,furniture/equipment,100<=X<500,unemployed,female div/sep/mar,skilled,163.02,bad
>=200,existing paid,new car,100<=X<500,>=7,female div/sep/mar,unskilled resident,595.2,bad
<0,existing paid,radio/tv,>=1000,<1,female div/sep/mar,skilled,973.53,good
<0,no credits/all paid,used car,<100,1<=X<4,female div/sep/mar,skilled,799.04,good
no checking,delayed previously,furniture/equipment,<100,4<=X<7,female div/sep/mar,skilled,397.76,bad
0<=X<200,no credits/all paid,business,unknown,1<=X<4,male single,high qualif/self emp/mgmt,5857.92,good
0<=X<200,delayed previously,radio/tv,unknown,1<=X<4,male single,high qualif/self emp/mgmt,2472.39,good
<0,critical/other existing credit,new car,<100,1<=X<4,male single,skilled,1360.12,good
0<=X<200,existing paid,furniture/equipment,100<=X<500,1<=X<4,female div/sep/mar,skilled,722.61,bad
no checking,existing paid,new car,<100,1<=X<4,male mar/wid/div/sep,unskilled resident,313.6,good
0<=X<200,critical/other existing credit,business,<100,4<=X<7,male single,skilled,986.04,good
no checking,critical/other existing credit,new car,<100,1<=X<4,male single,skilled,489.6,bad
no checking,existing paid,business,unknown,1<=X<4,male mar/wid/div/sep,skilled,1487.32,bad
<0,existing paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,408.76,good
<0,existing paid,radio/tv,<100,1<=X<4,male single,skilled,1690,bad
no checking,existing paid,radio/tv,unknown,>=7,male single,skilled,692.65,good
>=200,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,867.56,good
0<=X<200,no credits/all paid,new car,100<=X<500,4<=X<7,male single,skilled,416.73,bad
