Checking Status,Credit History,Purpose,Credit Requested,Saving Status,Employment,Personal Status,Age,Job,Age and Credit / 100,Class
no checking,critical/other existing credit,furniture/equipment,1520,unknown,>=7,male single,63,skilled,957.6,good
0<=X<200,critical/other existing credit,new car,3878,100<=X<500,<1,male mar/wid/div/sep,37,skilled,1434.86,good
<0,existing paid,new car,10722,<100,<1,female div/sep/mar,35,unskilled resident,3752.7,good
<0,existing paid,used car,4788,<100,4<=X<7,male single,26,skilled,1244.88,good
0<=X<200,delayed previously,other,7582,100<=X<500,unemployed,male single,31,high qualif/self emp/mgmt,2350.42,good
0<=X<200,existing paid,radio/tv,1092,<100,1<=X<4,female div/sep/mar,49,skilled,535.08,good
<0,delayed previously,radio/tv,1024,<100,<1,male mar/wid/div/sep,48,skilled,491.52,bad
no checking,existing paid,business,1076,<100,1<=X<4,male mar/wid/div/sep,26,skilled,279.76,good
0<=X<200,existing paid,used car,9398,<100,<1,male mar/wid/div/sep,28,high qualif/self emp/mgmt,2631.44,bad
<0,critical/other existing credit,used car,6419,<100,>=7,female div/sep/mar,44,high qualif/self emp/mgmt,2824.36,good
>=200,critical/other existing credit,used car,4796,<100,>=7,male single,56,skilled,2685.76,good
no checking,critical/other existing credit,business,7629,unknown,>=7,male mar/wid/div/sep,46,high qualif/self emp/mgmt,3509.34,good
0<=X<200,existing paid,furniture/equipment,9960,<100,<1,female div/sep/mar,26,skilled,2589.6,bad
no checking,existing paid,used car,4675,unknown,<1,female div/sep/mar,20,skilled,935,good
no checking,existing paid,new car,1287,unknown,>=7,male single,45,unskilled resident,579.15,good
no checking,existing paid,furniture/equipment,2515,<100,1<=X<4,male single,43,skilled,1081.45,good
0<=X<200,critical/other existing credit,furniture/equipment,2745,>=1000,4<=X<7,male single,32,skilled,878.4,good
no checking,existing paid,new car,672,<100,unemployed,female div/sep/mar,54,unemp/unskilled non res,362.88,good
0<=X<200,no credits/all paid,radio/tv,3804,<100,1<=X<4,female div/sep/mar,42,skilled,1597.68,bad
>=200,critical/other existing credit,new car,1344,unknown,4<=X<7,male single,37,unskilled resident,497.28,bad
<0,critical/other existing credit,new car,1038,<100,4<=X<7,male single,49,skilled,508.62,good
no checking,critical/other existing credit,new car,10127,500<=X<1000,1<=X<4,male single,44,skilled,4455.88,bad
no checking,existing paid,furniture/equipment,1543,>=1000,1<=X<4,male mar/wid/div/sep,33,skilled,509.19,good
no checking,existing paid,used car,4811,unknown,4<=X<7,female div/sep/mar,24,unskilled resident,1154.64,good
<0,existing paid,radio/tv,727,100<=X<500,<1,male mar/wid/div/sep,33,unskilled resident,239.91,bad
0<=X<200,existing paid,furniture/equipment,1237,<100,1<=X<4,female div/sep/mar,24,skilled,296.88,bad
0<=X<200,existing paid,new car,276,<100,1<=X<4,male mar/wid/div/sep,22,unskilled resident,60.72,good
0<=X<200,existing paid,other,5381,unknown,unemployed,male single,40,unemp/unskilled non res,2152.4,good
no checking,existing paid,furniture/equipment,5511,100<=X<500,1<=X<4,male single,25,skilled,1377.75,good
>=200,existing paid,furniture/equipment,3749,<100,<1,female div/sep/mar,26,skilled,974.74,good
0<=X<200,existing paid,new car,685,<100,4<=X<7,male mar/wid/div/sep,25,unskilled resident,171.25,bad
>=200,existing paid,new car,1494,unknown,<1,male single,29,unskilled resident,433.26,good
<0,no credits/all paid,furniture/equipment,2746,<100,>=7,male single,31,skilled,851.26,bad
<0,existing paid,furniture/equipment,708,<100,1<=X<4,male single,38,unskilled resident,269.04,good
0<=X<200,existing paid,furniture/equipment,4351,unknown,1<=X<4,female div/sep/mar,48,unskilled resident,2088.48,good
no checking,critical/other existing credit,education,701,<100,1<=X<4,male single,32,skilled,224.32,good
<0,delayed previously,furniture/equipment,3643,<100,>=7,female div/sep/mar,27,unskilled resident,983.61,good
0<=X<200,critical/other existing credit,new car,4249,<100,unemployed,male mar/wid/div/sep,28,high qualif/self emp/mgmt,1189.72,bad
<0,existing paid,radio/tv,1938,<100,<1,male mar/wid/div/sep,32,skilled,620.16,bad
<0,existing paid,used car,2910,<100,4<=X<7,male single,34,high qualif/self emp/mgmt,989.4,good
<0,existing paid,furniture/equipment,2659,>=1000,1<=X<4,male single,28,skilled,744.52,good
no checking,critical/other existing credit,new car,1028,<100,1<=X<4,female div/sep/mar,36,skilled,370.08,good
<0,critical/other existing credit,new car,3398,<100,4<=X<7,male single,39,unskilled resident,1325.22,good
no checking,critical/other existing credit,furniture/equipment,5801,unknown,>=7,male single,49,skilled,2842.49,good
no checking,existing paid,new car,1525,>=1000,4<=X<7,female div/sep/mar,34,skilled,518.5,good
>=200,existing paid,radio/tv,4473,<100,>=7,male single,31,skilled,1386.63,good
0<=X<200,existing paid,radio/tv,1068,<100,>=7,male single,28,skilled,299.04,good
<0,critical/other existing credit,used car,6615,<100,unemployed,male single,75,high qualif/self emp/mgmt,4961.25,good
no checking,critical/other existing credit,education,1864,100<=X<500,1<=X<4,female div/sep/mar,30,skilled,559.2,bad
0<=X<200,existing paid,new car,7408,100<=X<500,<1,female div/sep/mar,24,high qualif/self emp/mgmt,1777.92,bad
no checking,critical/other existing credit,used car,11590,100<=X<500,1<=X<4,female div/sep/mar,24,unskilled resident,2781.6,bad
<0,no credits/all paid,furniture/equipment,4110,<100,>=7,male single,23,skilled,945.3,bad
<0,critical/other existing credit,furniture/equipment,3384,<100,1<=X<4,male mar/wid/div/sep,44,high qualif/self emp/mgmt,1488.96,bad
0<=X<200,existing paid,radio/tv,2101,<100,<1,female div/sep/mar,23,unskilled resident,483.23,good
<0,existing paid,furniture/equipment,1275,unknown,1<=X<4,female div/sep/mar,24,skilled,306,bad
<0,existing paid,furniture/equipment,4169,<100,1<=X<4,male single,28,skilled,1167.32,good
0<=X<200,existing paid,furniture/equipment,1521,<100,1<=X<4,male mar/wid/div/sep,31,unskilled resident,471.51,good
0<=X<200,critical/other existing credit,education,5743,<100,<1,female div/sep/mar,24,skilled,1378.32,good
<0,existing paid,furniture/equipment,3599,<100,4<=X<7,female div/sep/mar,26,unskilled resident,935.74,good
0<=X<200,existing paid,radio/tv,3213,500<=X<1000,<1,male mar/wid/div/sep,25,skilled,803.25,good
0<=X<200,existing paid,business,4439,<100,>=7,male single,33,high qualif/self emp/mgmt,1464.87,good
>=200,existing paid,new car,3949,<100,<1,male single,37,unskilled resident,1461.13,good
no checking,critical/other existing credit,radio/tv,1459,<100,1<=X<4,female div/sep/mar,43,unskilled resident,627.37,good
0<=X<200,critical/other existing credit,radio/tv,882,<100,<1,male single,23,skilled,202.86,good
0<=X<200,existing paid,radio/tv,3758,500<=X<1000,unemployed,female div/sep/mar,23,unemp/unskilled non res,864.34,good
no checking,delayed previously,business,1743,100<=X<500,1<=X<4,male single,34,unskilled resident,592.62,good
0<=X<200,critical/other existing credit,education,1136,>=1000,>=7,male single,32,skilled,363.52,bad
no checking,existing paid,furniture/equipment,1236,<100,<1,female div/sep/mar,23,skilled,284.28,good
0<=X<200,existing paid,furniture/equipment,959,<100,1<=X<4,female div/sep/mar,29,skilled,278.11,bad
no checking,critical/other existing credit,used car,3229,unknown,unemployed,male single,38,high qualif/self emp/mgmt,1227.02,good
<0,no credits/all paid,radio/tv,6199,<100,1<=X<4,male single,28,skilled,1735.72,bad
no checking,existing paid,education,727,500<=X<1000,>=7,male single,46,skilled,334.42,good
0<=X<200,existing paid,new car,1246,<100,<1,male single,23,unskilled resident,286.58,bad
no checking,critical/other existing credit,radio/tv,2331,unknown,>=7,male single,49,skilled,1142.19,good
no checking,delayed previously,radio/tv,4463,<100,1<=X<4,male single,26,high qualif/self emp/mgmt,1160.38,bad
no checking,existing paid,radio/tv,776,<100,1<=X<4,male mar/wid/div/sep,28,skilled,217.28,good
<0,existing paid,furniture/equipment,2406,<100,4<=X<7,female div/sep/mar,23,skilled,553.38,bad
0<=X<200,existing paid,education,1239,unknown,1<=X<4,male single,61,skilled,755.79,good
>=200,existing paid,radio/tv,3399,unknown,>=7,male single,37,high qualif/self emp/mgmt,1257.63,good
>=200,delayed previously,new car,2247,<100,1<=X<4,female div/sep/mar,36,skilled,808.92,good
no checking,existing paid,furniture/equipment,1766,<100,1<=X<4,male mar/wid/div/sep,21,skilled,370.86,good
<0,existing paid,furniture/equipment,2473,<100,unemployed,male single,25,unemp/unskilled non res,618.25,bad
no checking,existing paid,business,1542,<100,4<=X<7,male single,36,skilled,555.12,good
no checking,critical/other existing credit,used car,3850,<100,4<=X<7,male single,27,skilled,1039.5,good
<0,existing paid,furniture/equipment,3650,<100,<1,female div/sep/mar,22,skilled,803,good
<0,existing paid,furniture/equipment,3446,<100,>=7,male single,42,skilled,1447.32,bad
0<=X<200,existing paid,furniture/equipment,3001,<100,4<=X<7,female div/sep/mar,40,skilled,1200.4,good
no checking,existing paid,new car,3079,unknown,1<=X<4,male single,36,skilled,1108.44,good
no checking,critical/other existing credit,radio/tv,6070,<100,>=7,male single,33,skilled,2003.1,good
no checking,critical/other existing credit,furniture/equipment,2146,<100,<1,female div/sep/mar,23,skilled,493.58,good
no checking,critical/other existing credit,new car,13756,unknown,>=7,male single,63,high qualif/self emp/mgmt,8666.28,good
0<=X<200,no credits/all paid,other,14782,100<=X<500,>=7,female div/sep/mar,60,high qualif/self emp/mgmt,8869.2,bad
<0,no credits/all paid,business,7685,<100,4<=X<7,female div/sep/mar,37,skilled,2843.45,bad
no checking,delayed previously,radio/tv,2320,<100,unemployed,male mar/wid/div/sep,34,skilled,788.8,good
no checking,delayed previously,radio/tv,846,unknown,>=7,male single,36,skilled,304.56,good
0<=X<200,existing paid,new car,14318,<100,>=7,male single,57,high qualif/self emp/mgmt,8161.26,bad
no checking,critical/other existing credit,new car,362,100<=X<500,1<=X<4,female div/sep/mar,52,unskilled resident,188.24,good
<0,existing paid,furniture/equipment,2212,unknown,4<=X<7,male single,39,skilled,862.68,good
0<=X<200,existing paid,used car,12976,<100,unemployed,female div/sep/mar,38,high qualif/self emp/mgmt,4930.88,bad
no checking,existing paid,new car,1283,unknown,4<=X<7,female div/sep/mar,25,skilled,320.75,good
>=200,existing paid,new car,1330,<100,<1,male single,26,skilled,345.8,good
no checking,delayed previously,business,4272,100<=X<500,1<=X<4,male single,26,unskilled resident,1110.72,good
no checking,critical/other existing credit,radio/tv,2238,<100,1<=X<4,female div/sep/mar,25,skilled,559.5,good
no checking,existing paid,radio/tv,1126,unknown,<1,female div/sep/mar,21,skilled,236.46,good
0<=X<200,critical/other existing credit,furniture/equipment,7374,<100,unemployed,male single,40,high qualif/self emp/mgmt,2949.6,good
0<=X<200,critical/other existing credit,business,2326,500<=X<1000,1<=X<4,male single,27,skilled,628.02,good
no checking,existing paid,business,1449,<100,4<=X<7,female div/sep/mar,27,skilled,391.23,good
no checking,existing paid,new car,1820,<100,1<=X<4,male mar/wid/div/sep,30,high qualif/self emp/mgmt,546,good
0<=X<200,existing paid,furniture/equipment,983,>=1000,<1,female div/sep/mar,19,unskilled resident,186.77,good
<0,existing paid,new car,3249,<100,4<=X<7,male single,39,high qualif/self emp/mgmt,1267.11,good
<0,critical/other existing credit,radio/tv,1957,<100,4<=X<7,female div/sep/mar,31,skilled,606.67,good
no checking,critical/other existing credit,furniture/equipment,2406,<100,unemployed,male single,31,high qualif/self emp/mgmt,745.86,good
0<=X<200,delayed previously,education,11760,100<=X<500,4<=X<7,male single,32,skilled,3763.2,good
<0,existing paid,furniture/equipment,2578,<100,unemployed,female div/sep/mar,55,high qualif/self emp/mgmt,1417.9,good
<0,critical/other existing credit,furniture/equipment,2348,<100,1<=X<4,male mar/wid/div/sep,46,skilled,1080.08,good
0<=X<200,existing paid,new car,1223,<100,>=7,male mar/wid/div/sep,46,skilled,562.58,bad
no checking,critical/other existing credit,radio/tv,1516,>=1000,1<=X<4,female div/sep/mar,43,unskilled resident,651.88,good
no checking,existing paid,radio/tv,1473,<100,<1,male mar/wid/div/sep,39,skilled,574.47,good
0<=X<200,critical/other existing credit,business,1887,unknown,1<=X<4,male mar/wid/div/sep,28,skilled,528.36,good
no checking,delayed previously,business,8648,<100,<1,male single,27,skilled,2334.96,bad
no checking,delayed previously,new car,802,<100,1<=X<4,male single,27,unskilled resident,216.54,good
0<=X<200,delayed previously,new car,2899,unknown,>=7,male single,43,skilled,1246.57,good
0<=X<200,existing paid,radio/tv,2039,<100,<1,male mar/wid/div/sep,22,skilled,448.58,bad
no checking,critical/other existing credit,used car,2197,unknown,4<=X<7,male single,43,skilled,944.71,good
<0,existing paid,radio/tv,1053,<100,<1,male mar/wid/div/sep,27,skilled,284.31,good
no checking,existing paid,radio/tv,3235,500<=X<1000,>=7,male mar/wid/div/sep,26,high qualif/self emp/mgmt,841.1,good
>=200,critical/other existing credit,new car,939,500<=X<1000,4<=X<7,male mar/wid/div/sep,28,skilled,262.92,bad
0<=X<200,existing paid,radio/tv,1967,<100,>=7,female div/sep/mar,20,skilled,393.4,good
no checking,critical/other existing credit,used car,7253,<100,4<=X<7,male single,35,high qualif/self emp/mgmt,2538.55,good
no checking,critical/other existing credit,business,2292,<100,unemployed,male single,42,high qualif/self emp/mgmt,962.64,bad
no checking,existing paid,new car,1597,500<=X<1000,1<=X<4,male single,40,unskilled resident,638.8,good
<0,existing paid,new car,1381,unknown,1<=X<4,female div/sep/mar,35,skilled,483.35,bad
no checking,critical/other existing credit,used car,5842,<100,>=7,male single,35,skilled,2044.7,good
<0,existing paid,new car,2579,<100,<1,male single,33,unskilled resident,851.07,bad
<0,delayed previously,education,8471,unknown,1<=X<4,female div/sep/mar,23,skilled,1948.33,good
no checking,existing paid,new car,2782,500<=X<1000,4<=X<7,female div/sep/mar,31,high qualif/self emp/mgmt,862.42,good
0<=X<200,existing paid,new car,1042,unknown,1<=X<4,female div/sep/mar,33,skilled,343.86,bad
no checking,existing paid,new car,3186,>=1000,4<=X<7,female div/sep/mar,20,skilled,637.2,good
0<=X<200,existing paid,used car,2028,unknown,1<=X<4,male single,30,skilled,608.4,good
0<=X<200,critical/other existing credit,new car,958,<100,4<=X<7,male single,47,unskilled resident,450.26,good
no checking,delayed previously,furniture/equipment,1591,100<=X<500,4<=X<7,male single,34,high qualif/self emp/mgmt,540.94,good
0<=X<200,existing paid,furniture/equipment,2762,unknown,>=7,female div/sep/mar,25,skilled,690.5,bad
0<=X<200,existing paid,used car,2779,<100,1<=X<4,male mar/wid/div/sep,21,skilled,583.59,good
no checking,critical/other existing credit,radio/tv,2743,<100,>=7,male single,29,skilled,795.47,good
no checking,critical/other existing credit,radio/tv,1149,>=1000,1<=X<4,male single,46,skilled,528.54,good
no checking,existing paid,furniture/equipment,1313,<100,>=7,male single,20,skilled,262.6,good
<0,critical/other existing credit,repairs,1190,<100,unemployed,female div/sep/mar,55,unemp/unskilled non res,654.5,bad
no checking,existing paid,business,3448,<100,4<=X<7,male single,74,unskilled resident,2551.52,good
0<=X<200,existing paid,other,13280,<100,1<=X<4,male single,29,high qualif/self emp/mgmt,3851.2,bad
<0,critical/other existing credit,furniture/equipment,1872,<100,unemployed,male single,36,high qualif/self emp/mgmt,673.92,good
no checking,critical/other existing credit,repairs,2058,<100,1<=X<4,male mar/wid/div/sep,33,skilled,679.14,good
<0,existing paid,furniture/equipment,2136,<100,1<=X<4,male single,25,skilled,534,good
0<=X<200,existing paid,radio/tv,1484,unknown,1<=X<4,male mar/wid/div/sep,25,skilled,371,bad
no checking,existing paid,repairs,660,500<=X<1000,4<=X<7,male mar/wid/div/sep,23,unskilled resident,151.8,good
no checking,critical/other existing credit,new car,1287,>=1000,>=7,female div/sep/mar,37,skilled,476.19,good
<0,critical/other existing credit,repairs,3394,<100,unemployed,male single,65,unemp/unskilled non res,2206.1,good
>=200,no credits/all paid,business,609,<100,<1,female div/sep/mar,26,unemp/unskilled non res,158.34,bad
no checking,existing paid,new car,1884,<100,>=7,male single,39,high qualif/self emp/mgmt,734.76,good
<0,existing paid,furniture/equipment,1620,<100,1<=X<4,female div/sep/mar,30,skilled,486,good
0<=X<200,delayed previously,other,2629,<100,1<=X<4,male single,29,skilled,762.41,good
no checking,existing paid,education,7190,<100,>=7,male single,41,unskilled resident,2947.9,bad
0<=X<200,critical/other existing credit,furniture/equipment,5096,<100,1<=X<4,female div/sep/mar,30,high qualif/self emp/mgmt,1528.8,bad
no checking,critical/other existing credit,education,1244,unknown,>=7,female div/sep/mar,41,unskilled resident,510.04,good
<0,existing paid,new car,1842,<100,<1,female div/sep/mar,34,skilled,626.28,bad
0<=X<200,existing paid,radio/tv,2576,<100,1<=X<4,male single,35,skilled,901.6,good
>=200,existing paid,furniture/equipment,1424,unknown,>=7,female div/sep/mar,55,high qualif/self emp/mgmt,783.2,good
0<=X<200,delayed previously,repairs,1512,>=1000,1<=X<4,male mar/wid/div/sep,61,skilled,922.32,bad
no checking,critical/other existing credit,used car,11054,unknown,1<=X<4,male single,30,high qualif/self emp/mgmt,3316.2,good
no checking,existing paid,radio/tv,5180,<100,1<=X<4,female div/sep/mar,29,skilled,1502.2,good
no checking,no credits/all paid,furniture/equipment,2759,<100,>=7,male single,34,skilled,938.06,good
no checking,existing paid,used car,2670,<100,>=7,male single,35,high qualif/self emp/mgmt,934.5,good
<0,existing paid,new car,4817,<100,4<=X<7,male single,31,skilled,1493.27,bad
no checking,existing paid,used car,2679,<100,<1,female div/sep/mar,29,high qualif/self emp/mgmt,776.91,good
<0,critical/other existing credit,new car,3905,<100,1<=X<4,male single,36,skilled,1405.8,good
<0,existing paid,used car,3386,<100,>=7,male single,35,skilled,1185.1,bad
<0,existing paid,furniture/equipment,343,<100,<1,female div/sep/mar,27,skilled,92.61,good
no checking,existing paid,radio/tv,4594,<100,<1,male single,32,skilled,1470.08,good
<0,existing paid,furniture/equipment,3620,<100,1<=X<4,male single,37,skilled,1339.4,good
<0,existing paid,new car,1721,<100,<1,male single,36,skilled,619.56,good
0<=X<200,existing paid,furniture/equipment,3017,<100,<1,female div/sep/mar,34,high qualif/self emp/mgmt,1025.78,good
0<=X<200,existing paid,retraining,754,unknown,>=7,male single,38,skilled,286.52,good
no checking,existing paid,business,1950,<100,4<=X<7,male single,34,skilled,663,good
<0,existing paid,used car,2924,<100,1<=X<4,male single,63,skilled,1842.12,good
<0,delayed previously,radio/tv,1659,<100,<1,female div/sep/mar,29,unskilled resident,481.11,bad
no checking,delayed previously,radio/tv,7238,unknown,>=7,male single,32,skilled,2316.16,good
no checking,delayed previously,business,2764,<100,1<=X<4,female div/sep/mar,26,skilled,718.64,good
no checking,delayed previously,used car,4679,<100,4<=X<7,male single,35,unskilled resident,1637.65,good
0<=X<200,existing paid,radio/tv,3092,100<=X<500,<1,male mar/wid/div/sep,22,skilled,680.24,bad
<0,existing paid,education,448,<100,<1,female div/sep/mar,23,skilled,103.04,bad
<0,existing paid,new car,654,<100,1<=X<4,male single,28,unskilled resident,183.12,bad
no checking,existing paid,retraining,1238,unknown,unemployed,male single,36,high qualif/self emp/mgmt,445.68,good
0<=X<200,critical/other existing credit,radio/tv,1245,<100,1<=X<4,male mar/wid/div/sep,33,skilled,410.85,bad
<0,no credits/all paid,furniture/equipment,3114,<100,<1,female div/sep/mar,26,skilled,809.64,bad
no checking,existing paid,used car,2569,500<=X<1000,1<=X<4,male single,24,skilled,616.56,good
>=200,existing paid,radio/tv,5152,<100,4<=X<7,male single,25,skilled,1288,good
0<=X<200,existing paid,business,1037,100<=X<500,4<=X<7,male single,39,unskilled resident,404.43,good
<0,critical/other existing credit,furniture/equipment,1478,<100,>=7,male single,44,skilled,650.32,good
0<=X<200,critical/other existing credit,radio/tv,3573,<100,1<=X<4,female div/sep/mar,23,unskilled resident,821.79,good
0<=X<200,existing paid,new car,1201,<100,<1,male single,26,skilled,312.26,good
<0,existing paid,furniture/equipment,3622,>=1000,>=7,female div/sep/mar,57,skilled,2064.54,good
no checking,delayed previously,furniture/equipment,960,>=1000,4<=X<7,female div/sep/mar,30,skilled,288,good
no checking,critical/other existing credit,new car,1163,500<=X<1000,1<=X<4,male single,44,skilled,511.72,good
0<=X<200,delayed previously,new car,1209,<100,unemployed,male single,47,high qualif/self emp/mgmt,568.23,bad
no checking,existing paid,radio/tv,3077,<100,1<=X<4,male single,52,skilled,1600.04,good
no checking,existing paid,new car,3757,<100,>=7,female div/sep/mar,62,skilled,2329.34,good
no checking,existing paid,new car,1418,100<=X<500,1<=X<4,male single,35,unskilled resident,496.3,good
no checking,existing paid,new car,3518,<100,1<=X<4,male single,26,skilled,914.68,good
no checking,critical/other existing credit,radio/tv,1934,<100,>=7,male single,26,skilled,502.84,good
0<=X<200,no credits/all paid,business,8318,<100,>=7,female div/sep/mar,42,high qualif/self emp/mgmt,3493.56,bad
no checking,critical/other existing credit,radio/tv,1237,100<=X<500,1<=X<4,female div/sep/mar,27,skilled,333.99,good
0<=X<200,existing paid,radio/tv,368,unknown,>=7,male single,38,skilled,139.84,good
<0,critical/other existing credit,new car,2122,<100,1<=X<4,male single,39,unskilled resident,827.58,good
<0,existing paid,furniture/equipment,2996,unknown,1<=X<4,male mar/wid/div/sep,20,skilled,599.2,bad
0<=X<200,existing paid,furniture/equipment,9034,100<=X<500,<1,male single,29,high qualif/self emp/mgmt,2619.86,bad
no checking,critical/other existing credit,furniture/equipment,1585,<100,4<=X<7,male single,40,skilled,634,good
0<=X<200,existing paid,radio/tv,1301,<100,>=7,male mar/wid/div/sep,32,unskilled resident,416.32,good
>=200,critical/other existing credit,new car,1323,100<=X<500,>=7,male mar/wid/div/sep,28,skilled,370.44,good
<0,existing paid,new car,3123,<100,<1,female div/sep/mar,27,skilled,843.21,bad
<0,existing paid,used car,5493,<100,>=7,male single,42,skilled,2307.06,good
>=200,existing paid,radio/tv,1126,100<=X<500,>=7,male mar/wid/div/sep,49,skilled,551.74,good
0<=X<200,critical/other existing credit,radio/tv,1216,100<=X<500,<1,male single,38,skilled,462.08,bad
<0,existing paid,new car,1207,<100,<1,female div/sep/mar,24,skilled,289.68,bad
no checking,existing paid,new car,1309,unknown,1<=X<4,male single,27,unskilled resident,353.43,bad
>=200,critical/other existing credit,used car,2360,500<=X<1000,1<=X<4,male single,36,skilled,849.6,good
0<=X<200,no credits/all paid,new car,6850,100<=X<500,unemployed,male single,34,high qualif/self emp/mgmt,2329,bad
no checking,existing paid,radio/tv,1413,<100,1<=X<4,male mar/wid/div/sep,28,skilled,395.64,good
no checking,existing paid,used car,8588,100<=X<500,>=7,male single,45,high qualif/self emp/mgmt,3864.6,good
<0,existing paid,new car,759,<100,4<=X<7,male single,26,skilled,197.34,bad
no checking,existing paid,used car,4686,<100,1<=X<4,male single,32,high qualif/self emp/mgmt,1499.52,good
>=200,existing paid,business,2687,<100,4<=X<7,male single,26,skilled,698.62,good
0<=X<200,delayed previously,radio/tv,5850,<100,1<=X<4,male mar/wid/div/sep,20,skilled,1170,good
no checking,existing paid,new car,2255,unknown,<1,male single,54,skilled,1217.7,good
<0,critical/other existing credit,new car,609,<100,4<=X<7,female div/sep/mar,37,skilled,225.33,good
<0,critical/other existing credit,new car,1361,<100,<1,male single,40,unskilled resident,544.4,good
no checking,critical/other existing credit,furniture/equipment,7127,<100,<1,female div/sep/mar,23,skilled,1639.21,bad
<0,existing paid,new car,1203,100<=X<500,>=7,male single,43,skilled,517.29,good
no checking,critical/other existing credit,radio/tv,700,unknown,>=7,male single,36,skilled,252,good
no checking,critical/other existing credit,repairs,5507,<100,>=7,male single,44,skilled,2423.08,good
<0,existing paid,radio/tv,3190,<100,1<=X<4,female div/sep/mar,24,skilled,765.6,bad
<0,no credits/all paid,furniture/equipment,7119,<100,1<=X<4,male single,53,skilled,3773.07,bad
no checking,existing paid,used car,3488,100<=X<500,4<=X<7,female div/sep/mar,23,skilled,802.24,good
0<=X<200,existing paid,radio/tv,1113,<100,1<=X<4,female div/sep/mar,26,unskilled resident,289.38,good
0<=X<200,existing paid,used car,7966,<100,<1,male single,30,skilled,2389.8,good
no checking,critical/other existing credit,education,1532,100<=X<500,1<=X<4,female div/sep/mar,31,skilled,474.92,good
no checking,critical/other existing credit,radio/tv,1503,<100,4<=X<7,male single,42,unskilled resident,631.26,good
<0,existing paid,radio/tv,2302,<100,1<=X<4,male mar/wid/div/sep,31,skilled,713.62,bad
<0,existing paid,new car,662,<100,<1,male single,41,unskilled resident,271.42,good
0<=X<200,existing paid,education,2273,<100,4<=X<7,male single,32,skilled,727.36,good
0<=X<200,existing paid,new car,2631,100<=X<500,1<=X<4,female div/sep/mar,28,skilled,736.68,bad
no checking,delayed previously,used car,1503,<100,1<=X<4,male mar/wid/div/sep,41,skilled,616.23,good
no checking,existing paid,radio/tv,1311,100<=X<500,4<=X<7,male mar/wid/div/sep,26,skilled,340.86,good
no checking,existing paid,radio/tv,3105,unknown,<1,male single,25,skilled,776.25,good
>=200,critical/other existing credit,education,2319,<100,<1,male mar/wid/div/sep,33,skilled,765.27,bad
<0,existing paid,new car,1374,unknown,unemployed,female div/sep/mar,75,high qualif/self emp/mgmt,1030.5,good
0<=X<200,critical/other existing credit,furniture/equipment,3612,<100,>=7,female div/sep/mar,37,skilled,1336.44,good
<0,existing paid,new car,7763,<100,>=7,male single,42,high qualif/self emp/mgmt,3260.46,bad
>=200,existing paid,furniture/equipment,3049,<100,<1,female div/sep/mar,45,unskilled resident,1372.05,good
0<=X<200,existing paid,radio/tv,1534,<100,<1,male mar/wid/div/sep,23,skilled,352.82,bad
no checking,delayed previously,new car,2032,<100,>=7,male single,60,skilled,1219.2,good
<0,existing paid,furniture/equipment,6350,unknown,>=7,male single,31,skilled,1968.5,bad
>=200,existing paid,furniture/equipment,2864,<100,1<=X<4,male single,34,unskilled resident,973.76,bad
no checking,critical/other existing credit,new car,1255,<100,>=7,male single,61,unskilled resident,765.55,good
<0,delayed previously,new car,1333,<100,unemployed,male single,43,skilled,573.19,bad
no checking,critical/other existing credit,new car,2022,<100,1<=X<4,female div/sep/mar,37,skilled,748.14,good
no checking,existing paid,radio/tv,1552,<100,4<=X<7,male single,32,skilled,496.64,good
<0,no credits/all paid,radio/tv,626,<100,1<=X<4,female div/sep/mar,24,unskilled resident,150.24,bad
no checking,critical/other existing credit,used car,8858,unknown,4<=X<7,male single,35,skilled,3100.3,good
no checking,critical/other existing credit,repairs,996,unknown,4<=X<7,female div/sep/mar,23,skilled,229.08,good
no checking,no credits/all paid,radio/tv,1750,500<=X<1000,>=7,male single,45,unskilled resident,787.5,good
<0,existing paid,radio/tv,6999,<100,4<=X<7,male mar/wid/div/sep,34,skilled,2379.66,bad
0<=X<200,critical/other existing credit,new car,1995,100<=X<500,<1,male single,27,skilled,538.65,good
0<=X<200,existing paid,education,1199,<100,4<=X<7,female div/sep/mar,67,high qualif/self emp/mgmt,803.33,good
0<=X<200,existing paid,radio/tv,1331,<100,<1,male single,22,skilled,292.82,bad
0<=X<200,no credits/all paid,new car,2278,100<=X<500,<1,female div/sep/mar,28,skilled,637.84,bad
no checking,no credits/all paid,new car,5003,unknown,1<=X<4,female div/sep/mar,29,skilled,1450.87,bad
<0,no credits/all paid,furniture/equipment,3552,<100,4<=X<7,male single,27,skilled,959.04,bad
0<=X<200,critical/other existing credit,furniture/equipment,19280,<100,<1,male single,31,unskilled resident,5976.8,bad
<0,existing paid,used car,2964,unknown,>=7,male single,49,skilled,1452.36,good
<0,no credits/all paid,radio/tv,1546,<100,4<=X<7,male single,24,unskilled resident,371.04,bad
>=200,delayed previously,radio/tv,683,<100,<1,female div/sep/mar,29,skilled,198.07,good
0<=X<200,existing paid,new car,12389,unknown,1<=X<4,male single,37,skilled,4583.93,bad
0<=X<200,delayed previously,business,4712,unknown,1<=X<4,male single,37,high qualif/self emp/mgmt,1743.44,good
0<=X<200,delayed previously,radio/tv,1553,100<=X<500,4<=X<7,female div/sep/mar,23,skilled,357.19,good
